x,真实sin(x),MLP预测值
0.933110,0.803476,0.822029
0.953177,0.815260,0.828718
0.973244,0.826715,0.835019
0.993311,0.837838,0.840938
1.013378,0.848624,0.846480
1.033445,0.859067,0.851649
1.053512,0.869165,0.856452
1.073579,0.878913,0.860894
1.093645,0.888307,0.864980
1.113712,0.897343,0.868717
1.133779,0.906018,0.872109
1.153846,0.914328,0.875164
1.173913,0.922270,0.877887
1.193980,0.929841,0.880283
1.214047,0.937037,0.882360
1.234114,0.943856,0.884123
1.254181,0.950295,0.885578
1.274247,0.956351,0.886732
1.294314,0.962022,0.887590
1.314381,0.967305,0.888159
1.334448,0.972200,0.888446
1.354515,0.976702,0.888455
1.374582,0.980812,0.888193
1.394649,0.984526,0.887668
1.414716,0.987844,0.886883
1.434783,0.990764,0.885847
1.454849,0.993286,0.884564
1.474916,0.995407,0.883042
1.494983,0.997128,0.881285
1.515050,0.998447,0.879300
1.535117,0.999364,0.877093
1.555184,0.999878,0.874670
1.575251,0.999990,0.872037
1.595318,0.999699,0.869199
1.615385,0.999006,0.866163
1.635452,0.997911,0.862933
1.655518,0.996413,0.859516
1.675585,0.994515,0.855918
1.695652,0.992216,0.852143
1.715719,0.989517,0.848198
1.735786,0.986420,0.844088
1.755853,0.982926,0.839818
1.775920,0.979036,0.835393
1.795987,0.974752,0.830820
1.816054,0.970075,0.826102
1.836120,0.965008,0.821246
1.856187,0.959552,0.816256
1.876254,0.953709,0.811137
1.896321,0.947483,0.805894
1.916388,0.940875,0.800533
1.936455,0.933888,0.795057
1.956522,0.926526,0.789473
1.976589,0.918790,0.783784
1.996656,0.910684,0.777994
2.016722,0.902212,0.772110
2.036789,0.893376,0.766135
2.056856,0.884180,0.760073
2.076923,0.874629,0.753929
2.096990,0.864725,0.747707
2.117057,0.854473,0.741411
2.137124,0.843877,0.735046
2.157191,0.832941,0.728616
2.177258,0.821670,0.722124
2.197324,0.810068,0.715575
2.217391,0.798140,0.708973
2.237458,0.785890,0.702320
2.257525,0.773324,0.695621
2.277592,0.760447,0.688880
2.297659,0.747263,0.682101
2.317726,0.733778,0.675285
2.337793,0.719998,0.668438
2.357860,0.705928,0.661563
2.377926,0.691574,0.654662
2.397993,0.676942,0.647740
2.418060,0.662036,0.640798
2.438127,0.646864,0.633841
2.458194,0.631432,0.626871
2.478261,0.615746,0.619891
2.498328,0.599811,0.612904
2.518395,0.583635,0.605914
2.538462,0.567224,0.598922
2.558528,0.550584,0.591931
2.578595,0.533723,0.584944
2.598662,0.516647,0.577963
2.618729,0.499363,0.570991
2.638796,0.481878,0.564030
2.658863,0.464199,0.557083
2.678930,0.446333,0.550152
2.698997,0.428287,0.543238
2.719064,0.410068,0.536345
2.739130,0.391685,0.529473
2.759197,0.373144,0.522626
2.779264,0.354452,0.515804
2.799331,0.335618,0.509010
2.819398,0.316649,0.502246
2.839465,0.297552,0.495513
2.859532,0.278336,0.488813
2.879599,0.259007,0.482147
2.899666,0.239574,0.475517
2.919732,0.220045,0.468924
2.939799,0.200427,0.462370
2.959866,0.180728,0.455857
2.979933,0.160956,0.449384
3.000000,0.141120,0.442955
